Transmission1,Measure Names,Year1,Measure Values
Automatic,Median Kms Driven,2017,8500
Automatic,Avg. Kms Driven,2017,11700
Automatic,Median Kms Driven,2016,24262
Automatic,Avg. Kms Driven,2016,20639.333333333
Automatic,Median Kms Driven,2015,37398.5
Automatic,Avg. Kms Driven,2015,33140.5
Automatic,Median Kms Driven,2014,30000
Automatic,Avg. Kms Driven,2014,38250
Automatic,Median Kms Driven,2013,36198
Automatic,Avg. Kms Driven,2013,67732.666666667
Automatic,Median Kms Driven,2012,96853.5
Automatic,Avg. Kms Driven,2012,96853.5
Automatic,Median Kms Driven,2011,50000
Automatic,Avg. Kms Driven,2011,50000
Automatic,Median Kms Driven,2010,51000
Automatic,Avg. Kms Driven,2010,51000
Automatic,Median Kms Driven,2009,70000
Automatic,Avg. Kms Driven,2009,70000
Automatic,Median Kms Driven,2008,89000
Automatic,Avg. Kms Driven,2008,196966.666666667
Automatic,Median Kms Driven,2006,142000
Automatic,Avg. Kms Driven,2006,142000
Automatic,Median Kms Driven,2004,135154
Automatic,Avg. Kms Driven,2004,135154
